"~id","~start_node_id","~end_node_id","~relationship_type"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152921504606847000","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:1","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152921504606847001","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:25","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152921504606847002","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:26","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152921504606847003","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:27","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:1","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152921504606847004","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:28","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152921504606847005","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:29","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152921504606847006","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:30","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152921504606847007","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:31","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152921504606847008","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:32","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152921504606847009","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:33","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152922604118474776","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:34","MANIFESTS_AS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152923703630102552","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:72","TREATED_BY"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152925902653358159","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:79","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","BALANCES"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152925902653358160","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:80","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:1","BALANCES"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152925902653358161","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:81","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","BALANCES"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152925902653358162","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:82","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","BALANCES"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152927002164985936","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:80","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:2","AGGRAVATES"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152927002164985963","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:107","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:1","AGGRAVATES"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152927002164985964","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:108","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","AGGRAVATES"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152927002164985965","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:109","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:2","AGGRAVATES"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152928101676613716","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:84","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","PREVENTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152931400211497039","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:79","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","BENEFICIAL_FOR"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152932499723124839","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:103","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","HARMFUL_FOR"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152933599234752619","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:107","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","INCREASES_RISK"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152934698746380398","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:110","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","MORE_SUSCEPTIBLE"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1152935798258008178","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:114","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","PREDISPOSED_TO"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155173304420532248","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:2","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155173304420532249","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:25","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:1","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155173304420532250","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:26","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:2","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155173304420532251","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:27","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:0","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155173304420532252","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:28","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:16","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155173304420532253","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:29","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:1","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155173304420532254","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:30","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:2","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155173304420532255","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:31","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:1","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155173304420532256","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:32","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:7","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155173304420532257","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:33","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:2","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155174403932160024","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:35","MANIFESTS_AS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155175503443787800","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:61","TREATED_BY"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155177702467043409","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:81","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:1","BALANCES"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1155177702467043410","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:82","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:1","BALANCES"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157425104234217496","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:3","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157425104234217497","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:25","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:2","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157425104234217498","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:26","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:5","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157425104234217499","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:27","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:3","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157425104234217500","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:28","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:20","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157425104234217501","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:29","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:2","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157425104234217502","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:30","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:20","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157425104234217503","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:31","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:11","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157425104234217504","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:32","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:8","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157425104234217505","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:33","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:20","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157426203745845272","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:36","MANIFESTS_AS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157427303257473048","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:62","TREATED_BY"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157429502280728657","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:81","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:2","BALANCES"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902744","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:4","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902745","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:25","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:4","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902746","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:26","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:6","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902747","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:27","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:4","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902749","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:29","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:3","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902751","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:31","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:23","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902752","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:32","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:6","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159678003559530520","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:37","MANIFESTS_AS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159679103071158296","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:63","TREATED_BY"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1161928703861587992","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:10","AFFECTS"
